date,open,high,low,close,symbol
2021-04-30,154.54,154.55,153.055,155.19,JPM
2021-05-03,155.12,155.47,153.13,153.81,JPM
2021-05-04,153.11,155.57,152.13,153.36,JPM
2021-05-05,156.04,158.285,154.63,155.48,JPM
2021-05-06,157.85,160.82,157.175,157.52,JPM
2021-05-07,161.14,161.5,156.94,160.69,JPM
2021-05-10,162.16,163.73,161.13,161.24,JPM
2021-05-11,159.31,162.36,158.03,161.22,JPM
2021-05-12,158.16,160.755,157.03,158.54,JPM
2021-05-13,157.04,162.45,157.04,157.45,JPM
2021-05-14,162.37,164.44,161.77,161.5,JPM
2021-05-17,163.39,164.85,163.03,164.01,JPM
2021-05-18,164.3,165.49,162.24,164.67,JPM
2021-05-19,161.0,161.17,158.66,162.35,JPM
2021-05-20,160.65,161.85,159.52,161.11,JPM
2021-05-21,161.36,163.22,160.96,160.83,JPM
2021-05-24,162.97,164.23,162.13,162.66,JPM
2021-05-25,163.8,165.68,161.57,163.54,JPM
2021-05-26,162.1,163.705,161.355,161.85,JPM
2021-05-27,162.73,164.74,162.565,161.83,JPM
2021-05-28,164.73,164.95,163.28,164.35,JPM
2021-06-01,165.56,166.905,165.48,164.24,JPM
2021-06-02,166.53,167.395,165.53,166.05,JPM
2021-06-03,164.99,167.245,164.69,166.06,JPM
2021-06-04,166.31,166.71,165.035,166.17,JPM
2021-06-07,167.07,167.26,165.14,166.44,JPM
2021-06-08,164.98,165.74,163.2,165.66,JPM
2021-06-09,163.62,164.14,162.29,165.0,JPM
2021-06-10,163.48,165.195,160.32,162.94,JPM
2021-06-11,160.72,161.185,159.085,160.4,JPM
2021-06-14,159.98,160.36,156.655,160.29,JPM
2021-06-15,157.27,158.0,154.13,157.57,JPM
2021-06-16,154.75,157.62,153.115,155.18,JPM
2021-06-17,157.1,157.75,151.27,156.27,JPM
2021-06-18,150.58,150.78,147.59,151.76,JPM
2021-06-21,148.48,151.2,148.26,147.92,JPM
2021-06-22,150.68,151.08,148.67,150.43,JPM
2021-06-23,150.72,152.04,150.105,150.21,JPM
2021-06-24,152.18,153.125,151.22,151.12,JPM
2021-06-25,153.45,154.495,151.675,152.51,JPM
2021-06-28,153.68,154.47,152.14,154.05,JPM
2021-06-29,154.52,156.295,153.64,154.33,JPM
2021-06-30,153.95,156.065,153.7,154.14,JPM
2020-06-02,46.66,47.27,46.59,46.99,KO
2020-06-03,47.2925,47.7675,46.985,47.445,KO
2020-06-04,47.925,48.265,47.38,47.9,KO
2020-06-05,48.97,49.49,48.46,47.92,KO
2020-06-08,49.63,49.97,49.47,49.09,KO
2020-06-09,49.56,49.59,48.68,49.85,KO
2020-06-10,48.650000000000006,48.7575,47.072500000000005,47.712500000000006,KO
2020-06-11,47.74,47.925,45.465,45.575,KO
2020-06-12,46.09,46.245,45.01,45.605,KO
2020-06-15,44.81,46.45,44.47,45.6,KO
2020-06-16,47.49,47.685,46.19,46.3,KO
2020-06-17,46.775,47.06,46.44,46.77,KO
2020-06-18,46.33,47.04,46.07,46.58,KO
2020-06-19,47.75,47.79,46.02,46.99,KO
2020-06-22,46.01,46.15,45.38,46.02,KO
2020-06-23,46.2,46.29,45.58,45.74,KO
2020-06-24,45.365,45.44,44.5,45.64,KO
2020-06-25,44.48,44.985,44.03,44.65,KO
2020-06-26,44.95,45.01,43.51,44.93,KO
2020-06-29,43.67,44.57,43.55,43.57,KO
2020-06-30,44.295,44.83,44.04,44.36,KO
2020-07-01,45.03,45.53,44.71,44.68,KO
2020-07-02,45.265,45.43,44.8,44.82,KO
2020-07-06,45.24,45.27,44.6,44.88,KO
2020-07-07,45.005,45.5,44.8,45.23,KO
2020-07-08,45.115,45.18,44.47,45.21,KO
2020-07-09,45.15,45.15,43.82,45.07,KO
2020-07-10,43.9,45.25,43.86,43.91,KO
2020-07-13,45.4,45.68,44.96,45.15,KO
2020-07-14,44.96,45.94,44.67,45.25,KO
2020-07-15,46.3,47.19,46.2,45.87,KO
2020-07-16,46.27,46.69,45.94,46.4,KO
2020-07-17,46.475,46.91,46.125,46.15,KO
2020-07-20,46.745,46.83,45.85,46.82,KO
2020-07-21,47.495,47.99,46.93,46.12,KO
2020-07-22,47.76,48.52,47.03,47.2,KO
2020-07-23,48.45,48.57,48.03,48.48,KO
2020-07-24,48.39,48.8,48.065,48.28,KO
2020-07-27,48.285,48.51,48.18,48.49,KO
2020-07-28,48.37,49.28,48.1,48.48,KO
2020-07-29,48.15,48.5,47.82,48.18,KO
2020-07-30,47.65,48.23,47.2,48.02,KO
2020-07-31,47.42,47.775,46.72,47.69,KO
2020-08-03,47.145,47.36,46.225,47.24,KO
2020-08-04,46.245,46.86,46.22,46.3,KO
2020-08-05,46.9,47.265,46.81,46.69,KO
2020-08-06,46.67,47.53,46.6,47.22,KO
2020-08-07,47.425,48.08,47.21,47.48,KO
2020-08-10,48.01,48.28,47.66,47.8,KO
2020-08-11,48.39,48.6527,47.7,47.72,KO
2020-08-12,48.3,48.69,48.12,47.93,KO
2020-08-13,48.195,48.725,48.08,48.43,KO
2020-08-14,48.38,48.69,48.03,48.38,KO
2020-08-17,48.355,48.75,48.2,48.45,KO
2020-08-18,48.17,48.51,47.96,48.21,KO
2020-08-19,48.085,48.38,47.22,48.42,KO
2020-08-20,47.265,47.6,47.0923,47.37,KO
2020-08-21,47.28,47.495,46.965,47.35,KO
2020-08-24,47.415,47.98,47.175,47.28,KO
2020-08-25,48.01,48.05,47.65,47.97,KO
2020-08-26,47.64,48.18,47.47,47.91,KO
2020-08-27,48.24,48.82,48.2,48.16,KO
2020-08-28,48.67,49.85,48.53,48.23,KO
2020-08-31,49.75,50.07,49.35,49.83,KO
2020-09-01,49.32,49.35,48.83,49.53,KO
2020-09-02,49.46,51.36,49.36,49.12,KO
2020-09-03,51.39,52.1378,50.1,51.19,KO
2020-09-04,50.975,51.465,50.28,50.48,KO
2020-09-08,51.03,51.04,49.36,51.04,KO
2020-09-09,49.72,50.755,49.59,49.81,KO
2020-09-10,50.32,50.675,49.95,50.19,KO
2020-09-11,50.31,51.2,50.1,50.0,KO
2020-09-14,50.97,51.23,50.57,50.650481220657,KO
2020-09-15,51.09,51.375,50.84,50.71,KO
2020-09-16,50.99,51.45,50.74,51.05,KO
2020-09-17,50.3,50.63,49.94,50.79,KO
2020-09-18,50.75,51.165,50.21,50.55,KO
2020-09-21,49.75,50.025,48.605,50.45,KO
2020-09-22,49.1,50.035,49.07,49.09,KO
2020-09-23,49.75,49.92,48.17,49.66,KO
2020-09-24,48.25,49.105,47.56,48.21,KO
2020-09-25,48.295,48.75,47.98,48.7,KO
2020-09-28,49.09,49.71,49.05,48.72,KO
2020-09-29,49.215,49.555,48.91,49.28,KO
2020-09-30,49.145,49.62,48.8916,48.92,KO
2020-10-01,49.45,49.6577,48.585,49.37,KO
2020-10-02,48.74,49.58,48.55,49.18,KO
2020-10-05,49.52,49.55,49.12,49.36,KO
2020-10-06,49.45,49.73,48.825,49.38,KO
2020-10-07,49.21,49.76,48.95,48.94,KO
2020-10-08,49.77,50.54,49.53,49.56,KO
2020-10-09,50.71,51.235,50.6,50.46,KO
2020-10-12,50.84,51.525,50.83,50.81,KO
2020-10-13,50.95,50.99,49.9,51.09,KO
2020-10-14,50.07,50.49,49.65,50.22,KO
2020-10-15,49.6,50.13,49.3,50.12,KO
2020-10-16,49.98,50.34,49.87,49.99,KO
2020-10-19,50.06,50.475,49.465,49.595,KO
2020-10-20,49.87,50.625,49.78,50.305,KO
2020-10-21,49.98,50.44,49.765,49.985,KO
2020-10-22,51.55,51.55,50.38,49.99,KO
2020-10-23,50.91,51.185,50.465,50.68,KO
2020-10-26,50.355,50.51,49.2,50.52,KO
2020-10-27,49.79,50.295,49.555,49.885,KO
2020-10-28,48.95,49.145,47.785,47.9,KO
2020-10-29,47.73,48.475,47.3,47.96,KO
2020-10-30,47.84,48.1216,47.365,48.02,KO
2020-11-02,48.765,48.95,48.24,48.06,KO
2020-11-03,49.23,49.96,48.995,48.62,KO
2020-11-04,49.4,50.21,49.08,49.35,KO
2020-11-05,49.65,50.21,49.34,49.17,KO
2020-11-06,49.635,49.995,49.25,49.44,KO
2020-11-09,52.02,53.265,52.02,49.45,KO
2020-11-10,52.535,54.28,52.45,52.57,KO
2020-11-11,53.92,54.305,53.33,53.98,KO
2020-11-12,53.145,53.21,52.605,53.58,KO
2020-11-13,53.24,53.505,52.89,53.01,KO
2020-11-16,54.5,54.62,53.28,53.45,KO
2020-11-17,53.66,53.75,53.02,53.85,KO
2020-11-18,53.73,54.02,52.56,53.68,KO
